signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,1000,0.51,0.473,-3.1838,0.0377,1000,-8.3505,6.535,60,-0.133,0.041,2026-08-03 16:12:52
ZERO_CROSS_UP,921,0.447,0.411,-4.3681,-0.0175,898,-23.9327,18.0018,60,-0.075,-0.017,2026-07-10 19:38:24
VIX_REGIME_CONFIRM,1000,0.322,0.318,2.2866,-0.032,1000,-20.7797,12.6966,60,0.035,-0.039,2026-07-10 23:59:23
SWEEP_ACCELERATION,190,0.363,0.157,-1.5195,-0.017,375,-29.2934,18.5044,60,-0.028,-0.023,2026-07-10 11:42:23
CALL_SURGE,153,0.412,0.382,-28.9975,-0.0052,152,-73.5081,39.0174,60,-0.298,-0.005,2026-07-15 09:33:45
ZERO_CROSS_DOWN,1000,0.533,0.475,-4.7404,0.1237,1000,-21.2638,27.2409,60,-0.083,0.112,2026-07-31 12:13:13
ZERO_PROXIMITY_RESISTANCE,1000,0.347,0.324,6.5667,-0.0497,1000,-15.2987,6.6468,60,0.133,-0.06,2026-07-22 20:02:20
IMBALANCE_REVERSAL,1000,0.477,0.432,-4.2018,0.0532,1000,-18.2061,22.4342,60,-0.088,0.056,2026-08-03 15:00:52
DELTA_DIVERGENCE_BEAR,1000,0.277,0.281,1.78,-0.0186,1000,-20.5313,21.8114,60,0.036,-0.021,2026-07-14 23:59:10
REGIME_TRADE_CONFIRM,1000,0.368,0.343,-2.0181,-0.055,1000,-17.8438,14.8869,60,-0.051,-0.063,2026-07-10 22:17:24
FAILED_SQUEEZE,146,0.384,0.262,-11.4983,-0.1761,141,-47.8903,59.779,60,-0.078,-0.173,2026-07-10 09:51:23
DELTA_DIVERGENCE_BULL,364,0.385,0.352,-1.7278,-0.0605,355,-16.5302,11.9323,60,-0.045,-0.064,2026-07-10 16:16:58
CHARM_MOMENTUM_EOD,228,0.421,0.412,-0.5285,-0.1439,228,-16.0145,14.789,60,-0.01,-0.164,2026-07-15 14:56:11
ABSORPTION_REVERSAL,126,0.214,0.203,-1.1695,-0.0543,123,-9.077,7.8604,60,-0.05,-0.081,2026-07-15 09:14:46
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
WALL_REJECT_CALL,113,0.398,0.363,-2.3486,0.1317,113,-3.1199,7.1149,60,-0.158,0.155,2026-08-03 15:06:52
WALL_REJECT_PUT,26,0.077,0.053,-0.8569,-0.24,19,-2.3002,0.3477,60,-0.233,-0.381,2026-08-03 23:59:16
HEDGE_PANIC,1,1.0,1.0,0.93,0.93,1,0.0,0.93,60,0.93,0.93,2026-07-14 12:47:33
WALL_BREAK_CALL,67,0.0,0.0,-7.3263,-0.0896,67,-8.9155,0.0,60,-0.306,-0.311,2026-07-17 09:00:57
WALL_BREAK_PUT,30,0.7,0.7,-2.7933,0.5473,30,-2.0933,4.62,60,-0.747,0.703,2026-07-29 11:02:39
GAMMA_COMPRESSION_BREAKOUT,13,0.077,0.105,-2.0937,-0.3613,19,-1.2285,0.5923,60,-0.369,-0.547,2026-07-31 17:10:15
