signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,949,0.471,0.446,-2.4418,0.0485,950,-7.0703,5.56,60,-0.108,0.056,2026-07-27 17:59:46
ZERO_CROSS_UP,921,0.447,0.411,-4.3681,-0.0175,898,-23.9327,18.0018,60,-0.075,-0.017,2026-07-10 19:38:24
VIX_REGIME_CONFIRM,1000,0.322,0.318,2.2866,-0.032,1000,-20.7797,12.6966,60,0.035,-0.039,2026-07-10 23:59:23
SWEEP_ACCELERATION,190,0.363,0.157,-1.5195,-0.017,375,-29.2934,18.5044,60,-0.028,-0.023,2026-07-10 11:42:23
CALL_SURGE,153,0.412,0.382,-28.9975,-0.0052,152,-73.5081,39.0174,60,-0.298,-0.005,2026-07-15 09:33:45
ZERO_CROSS_DOWN,1000,0.589,0.529,-10.9613,0.2462,1000,-22.1763,35.4013,60,-0.173,0.22,2026-07-28 11:05:24
ZERO_PROXIMITY_RESISTANCE,1000,0.347,0.324,6.5667,-0.0497,1000,-15.2987,6.6468,60,0.133,-0.06,2026-07-22 20:02:20
IMBALANCE_REVERSAL,1000,0.475,0.437,-4.5465,0.0627,1000,-16.0341,20.5309,60,-0.101,0.066,2026-07-28 12:50:20
DELTA_DIVERGENCE_BEAR,1000,0.277,0.281,1.78,-0.0186,1000,-20.5313,21.8114,60,0.036,-0.021,2026-07-14 23:59:10
REGIME_TRADE_CONFIRM,1000,0.368,0.343,-2.0181,-0.055,1000,-17.8438,14.8869,60,-0.051,-0.063,2026-07-10 22:17:24
FAILED_SQUEEZE,146,0.384,0.262,-11.4983,-0.1761,141,-47.8903,59.779,60,-0.078,-0.173,2026-07-10 09:51:23
DELTA_DIVERGENCE_BULL,364,0.385,0.352,-1.7278,-0.0605,355,-16.5302,11.9323,60,-0.045,-0.064,2026-07-10 16:16:58
CHARM_MOMENTUM_EOD,228,0.421,0.412,-0.5285,-0.1439,228,-16.0145,14.789,60,-0.01,-0.164,2026-07-15 14:56:11
ABSORPTION_REVERSAL,126,0.214,0.203,-1.1695,-0.0543,123,-9.077,7.8604,60,-0.05,-0.081,2026-07-15 09:14:46
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
WALL_REJECT_CALL,85,0.4,0.4,-2.8859,0.3074,85,-1.1079,6.9124,60,-0.318,0.394,2026-07-28 12:27:20
WALL_REJECT_PUT,16,0.062,0.0,-1.5156,-0.5509,11,-3.7359,0.4387,60,-0.329,-1.067,2026-07-27 10:05:33
HEDGE_PANIC,1,1.0,1.0,0.93,0.93,1,0.0,0.93,60,0.93,0.93,2026-07-14 12:47:33
WALL_BREAK_CALL,67,0.0,0.0,-7.3263,-0.0896,67,-8.9155,0.0,60,-0.306,-0.311,2026-07-17 09:00:57
WALL_BREAK_PUT,25,0.76,0.76,-2.532,0.5288,25,-2.408,4.684,60,-0.758,0.681,2026-07-27 02:37:25
GAMMA_COMPRESSION_BREAKOUT,7,0.143,0.222,0.2789,-0.1533,9,-1.6629,0.9414,60,0.168,-0.194,2026-07-23 11:18:20
