signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,802,0.463,0.44,-1.9714,0.061,803,-6.1429,5.3745,60,-0.094,0.07,2026-07-20 14:42:43
ZERO_CROSS_UP,921,0.447,0.411,-4.3681,-0.0175,898,-23.9327,18.0018,60,-0.075,-0.017,2026-07-10 19:38:24
VIX_REGIME_CONFIRM,1000,0.322,0.318,2.2866,-0.032,1000,-20.7797,12.6966,60,0.035,-0.039,2026-07-10 23:59:23
SWEEP_ACCELERATION,190,0.363,0.157,-1.5195,-0.017,375,-29.2934,18.5044,60,-0.028,-0.023,2026-07-10 11:42:23
CALL_SURGE,153,0.412,0.382,-28.9975,-0.0052,152,-73.5081,39.0174,60,-0.298,-0.005,2026-07-15 09:33:45
ZERO_CROSS_DOWN,1000,0.529,0.507,-7.4174,0.2326,1000,-24.9666,36.6276,60,-0.117,0.211,2026-07-20 14:46:43
ZERO_PROXIMITY_RESISTANCE,1000,0.557,0.473,-2.2146,0.216,1000,-12.5616,13.3365,60,-0.043,0.218,2026-07-20 14:44:43
IMBALANCE_REVERSAL,1000,0.496,0.464,-9.0422,0.128,1000,-24.5734,36.8506,60,-0.117,0.122,2026-07-20 14:47:43
DELTA_DIVERGENCE_BEAR,1000,0.277,0.281,1.78,-0.0186,1000,-20.5313,21.8114,60,0.036,-0.021,2026-07-14 23:59:10
REGIME_TRADE_CONFIRM,1000,0.368,0.343,-2.0181,-0.055,1000,-17.8438,14.8869,60,-0.051,-0.063,2026-07-10 22:17:24
FAILED_SQUEEZE,146,0.384,0.262,-11.4983,-0.1761,141,-47.8903,59.779,60,-0.078,-0.173,2026-07-10 09:51:23
DELTA_DIVERGENCE_BULL,364,0.385,0.352,-1.7278,-0.0605,355,-16.5302,11.9323,60,-0.045,-0.064,2026-07-10 16:16:58
CHARM_MOMENTUM_EOD,228,0.421,0.412,-0.5285,-0.1439,228,-16.0145,14.789,60,-0.01,-0.164,2026-07-15 14:56:11
ABSORPTION_REVERSAL,126,0.214,0.203,-1.1695,-0.0543,123,-9.077,7.8604,60,-0.05,-0.081,2026-07-15 09:14:46
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
WALL_REJECT_CALL,47,0.511,0.511,-5.0122,0.496,47,-0.9869,11.0173,60,-0.432,0.582,2026-07-20 10:52:42
WALL_REJECT_PUT,14,0.071,0.0,-1.1686,-0.4511,9,-3.456,0.4279,60,-0.246,-0.866,2026-07-16 13:59:16
HEDGE_PANIC,1,1.0,1.0,0.93,0.93,1,0.0,0.93,60,0.93,0.93,2026-07-14 12:47:33
WALL_BREAK_CALL,67,0.0,0.0,-7.3263,-0.0896,67,-8.9155,0.0,60,-0.306,-0.311,2026-07-17 09:00:57
WALL_BREAK_PUT,11,0.727,0.727,-2.6909,0.5891,11,-4.1545,5.8,60,-0.583,0.533,2026-07-17 11:33:10
GAMMA_COMPRESSION_BREAKOUT,4,0.25,0.333,0.3217,0.209,6,-1.525,1.475,60,0.165,0.289,2026-07-17 12:52:10
