2025-07-23 06:39:00,,6300,,6310,6300,,6330,6310,,6300,,6350,6300,6280,6335,6309.62
2025-07-23 06:40:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:41:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:42:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:43:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:44:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:45:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:46:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:47:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:48:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:49:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:50:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:51:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:53:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:54:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:55:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:56:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:57:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:58:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 06:59:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:00:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:01:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:02:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:03:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:04:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:05:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:06:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:07:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:08:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:09:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:10:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:11:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:12:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:13:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:14:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:15:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:16:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:17:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:18:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:19:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:20:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:21:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:22:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:23:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:24:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:25:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:26:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:27:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:28:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:29:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:30:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:31:00,,6300,,6310,6300,,6330,,,,,6350,6300,6280,6335,6309.62
2025-07-23 07:32:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:33:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:34:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:35:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:36:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:37:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:38:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:39:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:40:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:41:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
2025-07-23 07:42:00,,6300,,6310,6300,,6330,,,,,6350,6305,6280,6335,6309.62
