signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,1000,0.512,0.477,-4.2429,0.02,1000,-9.1742,8.032,60,-0.156,0.023,2026-08-20 14:27:05
ZERO_CROSS_UP,921,0.447,0.411,-4.3681,-0.0175,898,-23.9327,18.0018,60,-0.075,-0.017,2026-07-10 19:38:24
VIX_REGIME_CONFIRM,1000,0.322,0.318,2.2866,-0.032,1000,-20.7797,12.6966,60,0.035,-0.039,2026-07-10 23:59:23
SWEEP_ACCELERATION,190,0.363,0.157,-1.5195,-0.017,375,-29.2934,18.5044,60,-0.028,-0.023,2026-07-10 11:42:23
CALL_SURGE,153,0.412,0.382,-28.9975,-0.0052,152,-73.5081,39.0174,60,-0.298,-0.005,2026-07-15 09:33:45
ZERO_CROSS_DOWN,1000,0.512,0.47,-3.4545,0.117,1000,-20.8906,25.1195,60,-0.061,0.108,2026-08-20 20:33:37
ZERO_PROXIMITY_RESISTANCE,1000,0.347,0.324,6.5667,-0.0497,1000,-15.2987,6.6468,60,0.133,-0.06,2026-07-22 20:02:20
IMBALANCE_REVERSAL,1000,0.484,0.43,-3.9833,0.036,1000,-18.2717,22.3665,60,-0.082,0.039,2026-08-20 14:51:23
DELTA_DIVERGENCE_BEAR,1000,0.277,0.281,1.78,-0.0186,1000,-20.5313,21.8114,60,0.036,-0.021,2026-07-14 23:59:10
REGIME_TRADE_CONFIRM,1000,0.368,0.343,-2.0181,-0.055,1000,-17.8438,14.8869,60,-0.051,-0.063,2026-07-10 22:17:24
FAILED_SQUEEZE,146,0.384,0.262,-11.4983,-0.1761,141,-47.8903,59.779,60,-0.078,-0.173,2026-07-10 09:51:23
DELTA_DIVERGENCE_BULL,364,0.385,0.352,-1.7278,-0.0605,355,-16.5302,11.9323,60,-0.045,-0.064,2026-07-10 16:16:58
CHARM_MOMENTUM_EOD,228,0.421,0.412,-0.5285,-0.1439,228,-16.0145,14.789,60,-0.01,-0.164,2026-07-15 14:56:11
ABSORPTION_REVERSAL,126,0.214,0.203,-1.1695,-0.0543,123,-9.077,7.8604,60,-0.05,-0.081,2026-07-15 09:14:46
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
WALL_REJECT_CALL,210,0.419,0.386,-1.229,0.0556,210,-4.8292,7.1576,60,-0.082,0.066,2026-08-20 14:27:05
WALL_REJECT_PUT,46,0.087,0.077,-1.1454,-0.1578,39,-2.2325,0.5491,60,-0.26,-0.318,2026-08-10 22:41:06
HEDGE_PANIC,1,1.0,1.0,0.93,0.93,1,0.0,0.93,60,0.93,0.93,2026-07-14 12:47:33
WALL_BREAK_CALL,67,0.0,0.0,-7.3263,-0.0896,67,-8.9155,0.0,60,-0.306,-0.311,2026-07-17 09:00:57
WALL_BREAK_PUT,43,0.674,0.674,-2.1709,0.3947,43,-2.2105,4.5779,60,-0.561,0.491,2026-08-19 01:12:11
GAMMA_COMPRESSION_BREAKOUT,20,0.2,0.192,-2.4723,-0.2448,26,-15.8484,14.4247,60,-0.086,-0.277,2026-08-04 16:49:19
DEALER_UNWIND,2,0.5,0.0,0.5,-0.5,2,-5.125,1.625,60,0.707,-0.707,2026-08-05 16:01:38
